Gene1,Gene2,Score
ZSCAN2,PPBP,15.85236983840575
JUNB,GPR157,15.843278422748352
ZFHX2,LINC00877,15.72556363704402
FOXK1,AL928768.3,15.64324655308354
JUNB,NDUFA4L2,15.614227452433274
LEF1,JMJD1C-AS1,15.598866932339265
LEF1,CTB-118N6.3,15.580857962351285
ARID5B,ADAM28,15.506735300441452
JUNB,ITIH4,15.491564196022894
IRF6,AC016757.3,15.472507845566575
FOSB,SMYD2,15.452265452706907
JUNB,CLMN,15.441435063632856
JUNB,LAMC3,15.42688744459981
JUNB,SLC6A8,15.400077810254391
ZNF41,USP46,15.381433082626009
JUNB,PAPL,15.34501085444562
LEF1,LINC00610,15.34407286130754
ZSCAN31,KLRD1,15.26153811318632
ZNF470,KIAA0753,15.254144814130449
LEF1,LINC00221,15.23893539372042
JUNB,IQCD,15.211492692537997
FOS,LATS2,15.2112978168411
ZNF773,RP11-802O23.3,15.167769708636143
JUNB,PARPBP,15.139158488880678
LEF1,RP11-429E11.3,15.124912769652909
FOS,RGL3,15.10609627791834
LEF1,HSPG2,15.078498224145545
JUNB,ADPRH,15.076272845777186
JUN,RP11-676J15.1,15.062908287842742
ZNF320,ATP2B1,15.020977282417563
FOXK1,GTF3C1,15.01066440329791
ZNF264,CAAP1,15.002243643883146
PURA,FAM214B,14.998904835520277
LEF1,PALLD,14.933521719963885
LEF1,RP11-983P16.4,14.930559186390711
TCF12,FRY-AS1,14.916894369519191
CASZ1,STARD5,14.90658938922346
JUNB,PTPRS,14.842035895471769
JUN,ARRDC5,14.82112783491834
JUNB,RP11-379K17.4,14.741113740641154
JUNB,CDC42BPG,14.725395300116917
JUNB,RP4-593H12.1,14.723873312435185
TBX6,PIGW,14.70535904340457
LEF1,NIPAL2,14.68997601555188
ZNF41,LAG3,14.680743820998268
YEATS4,CTSA,14.661378850808507
ID3,GFI1B,14.652738711743773
MLXIP,PLCL2,14.627089835836724
JUNB,JAG1,14.5929357279516
ARID5B,ZNF805,14.579837927294395
JUN,RP11-326F20.5,14.52318565330744
ARNT,LINC00936,14.504132290382548
LEF1,LL0XNC01-237H1.2,14.499131820848632
PKNOX1,KLRC1,14.49708910498094
LEF1,NXPH4,14.45133772006686
GABPA,PKD2,14.398273484355048
JUNB,AC004067.5,14.395559456669462
WDHD1,RP4-583P15.10,14.38015885535654
JUNB,Z83851.3,14.31836486466813
FOSB,BOD1L1,14.258940381436014
RORB,LYG1,14.20447176554604
THAP6,AURKC,14.20399938140127
LEF1,TAS2R14,14.19153037230782
LEF1,GATM,14.182956115433893
ZNF233,CENPM,14.169182134074395
LEF1,FAM133A,14.156757882434018
JUNB,RP11-245J9.6,14.148038885627262
LEF1,BEND4,14.137664198519248
LEF1,PTPDC1,14.11685626305837
JUNB,SH3RF3-AS1,14.114034776542496
ZNF562,CPNE2,14.10567142315071
LEF1,NCS1,14.100141686210565
ZNF234,EXOC6B,14.091693659772051
ZNF277,MAP1A,14.07153218062126
JUNB,CRISPLD2,14.06335506842478
JUNB,RP11-426A6.5,14.058814765141456
TBX6,RELL2,14.048729851540232
JUNB,SCARF1,14.032199495522711
JUNB,PINLYP,14.028458573380188
LEF1,RP5-1024G6.5,14.009153288443745
ARID2,CABIN1,13.969106129077892
ZNF142,SPPL2A,13.93092413403872
ZFHX3,AC092295.7,13.918425437384476
TCF12,RP11-227D13.4,13.862754756828636
ZSCAN2,ELMO2,13.822686399181116
JUNB,RP13-638C3.4,13.803711684517678
JUN,RP11-768F21.1,13.79405926668046
AHCTF1,LAMA2,13.78242266628714
JUNB,MS4A6A,13.775628254832093
LEF1,ZNF185,13.76470899649227
ZNF80,RFWD3,13.743594972053138
ZNF773,TIGD4,13.723887104464705
FOS,PKN3,13.695215844158357
JUN,MAP10,13.654323959321582
DACH1,XCL1,13.633974900978698
ZBTB38,FCRL6,13.611471596178651
ASCL2,LA16c-313D11.9,13.594044966994542
ZNF264,RYK,13.509213165436194
LEF1,RP4-635E18.7,13.478298451222424
JUNB,RP11-779O18.3,13.447309508299806
ZSCAN2,FCER1G,13.444141720886474
JUN,RP11-203M5.8,13.424916875680672
JUNB,CALCB,13.4228662152427
NR4A1,CYP3A5,13.398244449140018
JUNB,ANPEP,13.39615261583737
ZNF264,LINC00657,13.388508911664657
CENPA,PIGU,13.339213472235372
ID2,ZNF532,13.329676663408222
JUNB,RP11-469N6.1,13.321751398588928
LEF1,GCK,13.301307712104071
LEF1,ERRFI1,13.28593325225272
LEF1,LAYN,13.28552115183652
NR4A1,PPARGC1B,13.259919126133854
ZNF80,HLA-DRB1,13.209547169190513
PLEK,HLA-DQB1,13.16025867285393
FOXN2,GP9,13.146992211400727
JUNB,GRAMD1B,13.144285423934862
AHCTF1,ZNF233,13.116031947320344
YEATS4,MRPS28,13.05774796086522
YEATS4,SGCB,13.049484566504669
LEF1,FAM110B,12.95612411573638
LEF1,CTC-444N24.6,12.905936909789745
DACH1,RP11-872J21.3,12.89111336629563
FOS,STS,12.884081503775729
CEBPD,ABI3,12.862634441386469
ZSCAN31,TP53RK,12.852736193215062
FOXN2,HOXA9,12.84194453340879
HIVEP3,MLXIP,12.831355371913697
MTA1,ZNF470,12.820336503942327
BATF,RP11-15B17.1,12.812204566277712
ZNF320,RP11-400L8.2,12.784343279995271
LEF1,CD300LF,12.775492418596937
ZBTB34,RP11-1399P15.1,12.734968357277934
ZNF805,C1GALT1,12.659569855966833
CEBPD,MLLT4,12.642961084903948
LEF1,AC016907.3,12.631692997246622
JUNB,ARL10,12.626883939525085
ZNF142,RP11-672L10.6,12.609388696013076
LEF1,ARHGEF26,12.55797174483528
YEATS4,ERGIC1,12.554420520004136
WDHD1,UNK,12.545413763994787
ID3,HEXA,12.493223003149922
ZNF576,CALHM2,12.4876317995009
LEF1,RP11-1E4.1,12.469809998682514
PLEK,AC068282.3,12.459216752104195
LEF1,MARCH3,12.454469136037352
JUNB,TLDC1,12.383057339386676
ZNF576,VLDLR,12.38020284231946
LEF1,RP11-320M2.1,12.364903565633403
JUNB,HMGB3,12.357861911399224
LEF1,RP1-28H20.3,12.328164553735249
FOS,RP11-351A11.1,12.305293294039274
LEF1,RP1-197B17.3,12.30517342170192
ZNF264,TIGIT,12.298525867131833
ZNF264,CHM,12.277724594395288
ID3,ESYT2,12.26318841517288
TBX1,LGALS3,12.173634775969164
TP63,RP11-65L3.2,12.16705470394524
CEBPD,LIAS,12.16375781669438
LEF1,RP11-394O4.3,12.158593386242154
HOPX,CRIP2,12.144057034703993
LEF1,CTD-3093M3.1,12.139705606408723
LEF1,CCSER1,12.139663745215024
LEF1,RP11-170N16.3,12.117454732747964
JUNB,C4orf21,12.117111819652786
NR4A1,AKAP13,12.046144058402907
FOS,HMGB3,12.002109871457831
JUNB,RP11-423C15.3,11.985768053113668
SOX13,PDCD7,11.983324422739996
LYAR,RP11-364B6.1,11.943905449077974
LEF1,CTD-3194G12.2,11.928335724394069
LEF1,LL09NC01-251B2.3,11.92449462415304
ARID2,CD47,11.906961369776123
LEF1,TRIM74,11.901142124017095
JUN,PPM1L,11.883371759687211
CENPA,PLEKHA3,11.876457879406663
ZNF80,STAG1,11.862204787875084
LEF1,AE000662.92,11.852910625456555
DACH1,RNASEH2C,11.83361263323101
LEF1,CPEB2,11.775394595751347
PLEK,ARHGEF28,11.768994144050897
BAZ2A,RORB,11.747745406110596
JUNB,CCT6B,11.714283340582403
LEF1,AC004158.2,11.713118820579416
JUNB,C9orf117,11.711717778220311
CASZ1,NAP1L5,11.694120179610158
LEF1,H1FX-AS1,11.67039635440289
LEF1,RP11-49C24.1,11.661261123200104
KLF6,NOL3,11.608248835075292
ZBTB38,UBXN6,11.595140011788043
ZFHX3,C6orf62,11.56177300343282
LEF1,AC007163.6,11.55195835985979
MTA1,FGR,11.531584294268542
BBX,WDR27,11.473603431973936
NR4A1,VSIG4,11.434070571664629
IRF6,S100A8,11.418652463467694
LEF1,RP11-860B13.1,11.387694708235625
BATF,HLA-DRA,11.374242155131338
ARNT,LPIN2,11.371162518637217
JUNB,RP1-168L15.5,11.351201748962234
CEBPD,DUSP18,11.34440667613382
ZNF142,MPST,11.306590281598574
LEF1,RP11-449P15.2,11.278770052484356
LEF1,CKMT2-AS1,11.258598166261976
LEF1,DST,11.223088002109067
SNAI3,KIF3A,11.22280490505618
ZNF143,CCL4,11.212641688713004
JUNB,NPPA-AS1,11.185409182806026
ZNF264,PCF11,11.16583126376118
ZFHX3,LMBR1L,11.155819313349951
LYAR,CASZ1,11.111228103934849
JUNB,IFI27,11.104164516030574
LEF1,PLK4,11.07478605525483
EPAS1,LPIN2,11.041439604319892
JUNB,OXTR,11.03846975864434
MTA1,MAN1A2,11.02167763070944
JUNB,RP11-482D24.2,11.019290789118324
PURA,PTPRN,10.99949352373546
MLXIP,ALS2CR12,10.99697136763542
JUNB,CTBP2,10.957077980984954
JUNB,ZMYND10,10.95274174867237
FOS,ZNF491,10.93375644817851
LEF1,RP11-482D24.2,10.930803757959335
LYAR,LCP2,10.89932548117044
JUNB,RP11-141C7.4,10.865407294492904
JUNB,SLC2A7,10.842036850734129
HOPX,ZNF501,10.832688794545671
FOSB,SIGLEC12,10.827203566680094
JUNB,RP11-571L19.8,10.8030917560514
HIVEP3,CD300A,10.783452617032747
JUNB,LILRA2,10.772982417301655
LEF1,NAP1L3,10.77163777695344
JUN,GOLGA6L6,10.769399954125268
BBX,ERCC6,10.765345922652084
LYAR,GZMK,10.746754463765972
LEF1,HDAC9,10.733371271955797
ZNF684,SLU7,10.71583846250546
BAZ2A,DUSP12,10.69906253295528
JUNB,RP11-532F12.5,10.620516212158616
ZNF41,TREML1,10.61382188052647
MLXIP,GLG1,10.579221788720591
BBX,SDPR,10.55871298293023
ZFHX3,PHLDA3,10.542219347109183
JUN,LRP12,10.525310655640428
RUNX3,MCM3,10.501290500963282
ZNF277,MESDC1,10.49401199013057
JUN,RP11-364B6.1,10.47217583995247
PLEK,CTD-2165H16.4,10.451664516260845
JUN,ZNF330,10.449060537685682
JUNB,OXCT2,10.434897644534706
LEF1,ALOXE3,10.412638023020111
ZNF618,TRIM38,10.411869633697888
LEF1,NPPA-AS1,10.410935440314264
PLEK,KLRF1,10.332479220415886
JUNB,LINC00989,10.32658721513449
LEF1,TPCN1,10.321821628617997
BBX,MROH1,10.319913767958294
ZNF773,hsa-mir-150,10.313497084262616
PLEK,STRN,10.298192766326824
LEF1,SCML2,10.27048571478082
ASCL2,KLRC2,10.25421523024924
BBX,AC009133.12,10.243467820477148
LEF1,ELAVL4,10.239745364092135
MIXL1,S1PR5,10.209911372780097
JUN,CTD-2574D22.2,10.199489502712094
ZNF234,GOLIM4,10.18500641820122
JUNB,AC005253.2,10.184438498678237
ZBTB38,MRPS11,10.18208574850484
FOXK1,PTPRN,10.16350093232659
